    PID    PPID    PGID ELAPSED   RSS %CPU STAT COMMAND
 434738       1  434738   20180  1984  0.0 Ss   sh evidence/p10/avx-n256-profile/monitor-endpoint-81bd07e-b.sh
 862557  434738  434738       3  1968  0.0 S    sleep 30
 862387  842157  842157      20  1964  0.0 S    sleep 30
   2469       1    2469   53256  1728  0.0 Ss   /usr/sbin/blkmapd
 842144       1  842144     740  1556  0.0 Ss   /usr/bin/time -v -o /mnt/niva-array/nsbu-solver/work/p10-n384-endpoint-prep-20260912/evidence/p10/avx-matched-piecewise-20260912/runs/n256-local-569fd0c/logs/time.txt /mnt/niva-array/nsbu-solver/work/p10-n384-endpoint-prep-20260912/deployment/569fd0ced7a755b1f6c066a7c00016f537fbc4bf/p10-avx-matched-n256 run /mnt/niva-array/nsbu-solver/work/p10-n384-endpoint-prep-20260912/evidence/p10/avx-matched-piecewise-20260912/runs/n256-local-569fd0c/output/state
      2       0       0   53268     0  0.0 S    [kthreadd]
      3       2       0   53268     0  0.0 S    [pool_workqueue_release]
      4       2       0   53268     0  0.0 I<   [kworker/R-rcu_g]
      5       2       0   53268     0  0.0 I<   [kworker/R-rcu_p]
      6       2       0   53268     0  0.0 I<   [kworker/R-slub_]
      7       2       0   53268     0  0.0 I<   [kworker/R-netns]
     10       2       0   53268     0  0.0 I<   [kworker/0:0H-events_highpri]
     12       2       0   53268     0  0.0 I<   [kworker/R-mm_pe]
     13       2       0   53268     0  0.0 I    [rcu_tasks_kthread]
     14       2       0   53268     0  0.0 I    [rcu_tasks_rude_kthread]
     15       2       0   53268     0  0.0 I    [rcu_tasks_trace_kthread]
     16       2       0   53268     0  0.0 S    [ksoftirqd/0]
     17       2       0   53268     0  0.1 I    [rcu_preempt]
     18       2       0   53268     0  0.0 S    [migration/0]
     19       2       0   53268     0  0.0 S    [idle_inject/0]
     20       2       0   53268     0  0.0 S    [cpuhp/0]
     21       2       0   53268     0  0.0 S    [cpuhp/1]
     22       2       0   53268     0  0.0 S    [idle_inject/1]
     23       2       0   53268     0  0.0 S    [migration/1]
     24       2       0   53268     0  0.0 S    [ksoftirqd/1]
     26       2       0   53268     0  0.0 I<   [kworker/1:0H-events_highpri]
     27       2       0   53268     0  0.0 S    [cpuhp/2]
     28       2       0   53268     0  0.0 S    [idle_inject/2]
     29       2       0   53268     0  0.0 S    [migration/2]
     30       2       0   53268     0  0.0 S    [ksoftirqd/2]
     32       2       0   53268     0  0.0 I<   [kworker/2:0H-events_highpri]
