PID PPID PGID PSR %CPU %MEM RSS STAT COMMAND
228 2 0 35 0.0 0.0 0 S 35]
230 2 0 35 0.0 0.0 0 I< 35:0H-events_highpri]
231 2 0 36 0.0 0.0 0 S 36]
232 2 0 36 0.0 0.0 0 S 36]
233 2 0 36 0.0 0.0 0 S 36]
234 2 0 36 0.0 0.0 0 S 36]
236 2 0 36 0.0 0.0 0 I< 36:0H-events_highpri]
237 2 0 37 0.0 0.0 0 S 37]
238 2 0 37 0.0 0.0 0 S 37]
239 2 0 37 0.0 0.0 0 S 37]
240 2 0 37 0.0 0.0 0 S 37]
242 2 0 37 0.0 0.0 0 I< 37:0H-events_highpri]
243 2 0 38 0.0 0.0 0 S 38]
244 2 0 38 0.0 0.0 0 S 38]
245 2 0 38 0.0 0.0 0 S 38]
246 2 0 38 0.0 0.0 0 S 38]
248 2 0 38 0.0 0.0 0 I< 38:0H-events_highpri]
249 2 0 39 0.0 0.0 0 S 39]
250 2 0 39 0.0 0.0 0 S 39]
251 2 0 39 0.0 0.0 0 S 39]
252 2 0 39 0.0 0.0 0 S 39]
254 2 0 39 0.0 0.0 0 I< 39:0H-events_highpri]
255 2 0 40 0.0 0.0 0 S 40]
256 2 0 40 0.0 0.0 0 S 40]
257 2 0 40 0.0 0.0 0 S 40]
258 2 0 40 0.0 0.0 0 S 40]
260 2 0 40 0.0 0.0 0 I< 40:0H-events_highpri]
261 2 0 41 0.0 0.0 0 S 41]
262 2 0 41 0.0 0.0 0 S 41]
263 2 0 41 0.0 0.0 0 S 41]
264 2 0 41 0.0 0.0 0 S 41]
266 2 0 41 0.0 0.0 0 I< 41:0H-events_highpri]
267 2 0 42 0.0 0.0 0 S 42]
268 2 0 42 0.0 0.0 0 S 42]
269 2 0 42 0.0 0.0 0 S 42]
270 2 0 42 0.0 0.0 0 S 42]
272 2 0 42 0.0 0.0 0 I< 42:0H-events_highpri]
273 2 0 43 0.0 0.0 0 S 43]
274 2 0 43 0.0 0.0 0 S 43]
275 2 0 43 0.0 0.0 0 S 43]
276 2 0 43 0.0 0.0 0 S 43]
278 2 0 43 0.0 0.0 0 I< 43:0H-events_highpri]
279 2 0 44 0.0 0.0 0 S 44]
280 2 0 44 0.0 0.0 0 S 44]
281 2 0 44 0.0 0.0 0 S 44]
282 2 0 44 0.0 0.0 0 S 44]
284 2 0 44 0.0 0.0 0 I< 44:0H-events_highpri]
285 2 0 45 0.0 0.0 0 S 45]
286 2 0 45 0.0 0.0 0 S 45]
287 2 0 45 0.0 0.0 0 S 45]
288 2 0 45 0.0 0.0 0 S 45]
290 2 0 45 0.0 0.0 0 I< 45:0H-events_highpri]
291 2 0 46 0.0 0.0 0 S 46]
292 2 0 46 0.0 0.0 0 S 46]
293 2 0 46 0.0 0.0 0 S 46]
294 2 0 46 0.0 0.0 0 S 46]
296 2 0 46 0.0 0.0 0 I< 46:0H-events_highpri]
297 2 0 47 0.0 0.0 0 S 47]
298 2 0 47 0.0 0.0 0 S 47]
299 2 0 47 0.0 0.0 0 S 47]
300 2 0 47 0.0 0.0 0 S 47]
302 2 0 47 0.0 0.0 0 I< 47:0H-events_highpri]
303 2 0 48 0.0 0.0 0 S 48]
304 2 0 48 0.0 0.0 0 S 48]
305 2 0 48 0.0 0.0 0 S 48]
306 2 0 48 0.0 0.0 0 S 48]
308 2 0 48 0.0 0.0 0 I< 48:0H-events_highpri]
309 2 0 49 0.0 0.0 0 S 49]
310 2 0 49 0.0 0.0 0 S 49]
311 2 0 49 0.0 0.0 0 S 49]
312 2 0 49 0.0 0.0 0 S 49]
314 2 0 49 0.0 0.0 0 I< 49:0H-kblockd]
315 2 0 50 0.0 0.0 0 S 50]
316 2 0 50 0.0 0.0 0 S 50]
317 2 0 50 0.0 0.0 0 S 50]
318 2 0 50 0.0 0.0 0 S 50]
320 2 0 50 0.0 0.0 0 I< 50:0H-events_highpri]
321 2 0 51 0.0 0.0 0 S 51]
322 2 0 51 0.0 0.0 0 S 51]
323 2 0 51 0.0 0.0 0 S 51]
324 2 0 51 0.0 0.0 0 S 51]
326 2 0 51 0.0 0.0 0 I< 51:0H-events_highpri]
327 2 0 52 0.0 0.0 0 S 52]
328 2 0 52 0.0 0.0 0 S 52]
329 2 0 52 0.0 0.0 0 S 52]
330 2 0 52 0.0 0.0 0 S 52]
332 2 0 52 0.0 0.0 0 I< 52:0H-events_highpri]
333 2 0 53 0.0 0.0 0 S 53]
334 2 0 53 0.0 0.0 0 S 53]
335 2 0 53 0.0 0.0 0 S 53]
336 2 0 53 0.0 0.0 0 S 53]
338 2 0 53 0.0 0.0 0 I< 53:0H-events_highpri]
339 2 0 54 0.0 0.0 0 S 54]
340 2 0 54 0.0 0.0 0 S 54]
341 2 0 54 0.0 0.0 0 S 54]
342 2 0 54 0.0 0.0 0 S 54]
344 2 0 54 0.0 0.0 0 I< 54:0H-events_highpri]
345 2 0 55 0.0 0.0 0 S 55]
346 2 0 55 0.0 0.0 0 S 55]
347 2 0 55 0.0 0.0 0 S 55]
348 2 0 55 0.0 0.0 0 S 55]
350 2 0 55 0.0 0.0 0 I< 55:0H-events_highpri]
351 2 0 56 0.0 0.0 0 S 56]
352 2 0 56 0.0 0.0 0 S 56]
353 2 0 56 0.0 0.0 0 S 56]
354 2 0 56 0.0 0.0 0 S 56]
356 2 0 56 0.0 0.0 0 I< 56:0H-events_highpri]
357 2 0 57 0.0 0.0 0 S 57]
358 2 0 57 0.0 0.0 0 S 57]
359 2 0 57 0.0 0.0 0 S 57]
360 2 0 57 0.0 0.0 0 S 57]
362 2 0 57 0.0 0.0 0 I< 57:0H-events_highpri]
363 2 0 58 0.0 0.0 0 S 58]
364 2 0 58 0.0 0.0 0 S 58]
365 2 0 58 0.0 0.0 0 S 58]
366 2 0 58 0.0 0.0 0 S 58]
368 2 0 58 0.0 0.0 0 I< 58:0H-events_highpri]
369 2 0 59 0.0 0.0 0 S 59]
370 2 0 59 0.0 0.0 0 S 59]
371 2 0 59 0.0 0.0 0 S 59]
372 2 0 59 0.0 0.0 0 S 59]
374 2 0 59 0.0 0.0 0 I< 59:0H-events_highpri]
375 2 0 60 0.0 0.0 0 S 60]
376 2 0 60 0.0 0.0 0 S 60]
377 2 0 60 0.0 0.0 0 S 60]
378 2 0 60 0.0 0.0 0 S 60]
